Date,Open,High,Low,Close,Volume,SMA,SD,Upper_Band,Lower_Band,VWAP,EMA12,EMA26,MACD,signalline,RSI,%K,%D,H-L,H-PC,L-PC,ATR
2022-12-07,18638.849609375,18668.30078125,18528.400390625,18560.5,200500,18459.5974609375,210.4423550921873,18880.482171121876,18038.712750753126,17125.199685986387,18566.514308360333,18356.87538774511,209.63892061522347,223.49528174023598,59.85973971474956,56.6324680974478,66.47892843332227,139.900390625,25.55078125,114.349609375,156.689453125
2022-12-08,18570.849609375,18625.0,18536.94921875,18609.349609375,202800,18488.65498046875,186.50076693665005,18861.65651434205,18115.65344659545,17129.717170729873,18573.104354670282,18375.577181939916,197.52717273036615,218.30165993826205,63.57777488687385,63.10904872389791,62.42628576952822,88.05078125,64.5,23.55078125,149.77887834821428
2022-12-09,18662.400390625,18664.69921875,18410.099609375,18496.599609375,215800,18496.0,183.61051633489305,18863.221032669786,18128.778967330214,17134.275853297535,18561.334393855625,18384.541806194367,176.79258766125713,209.99984548286108,65.6428388623786,47.85974178862297,55.867086203322884,254.599609375,55.349609375,199.25,155.51450892857142
2022-12-12,18402.150390625,18521.55078125,18345.69921875,18497.150390625,193900,18504.4,179.36950156128964,18863.139003122582,18145.66099687742,17138.144415050214,18551.459931820144,18392.88318281886,158.57674900128404,199.71522618654566,62.745013137565564,39.14441139851263,50.0377339703445,175.8515625,24.951171875,150.900390625,159.20744977678572
2022-12-13,18524.400390625,18617.25,18490.19921875,18608.0,187600,18514.62998046875,179.1403349648204,18872.910650398393,18156.34931053911,17142.196501991948,18560.158403847814,18408.81776186931,151.3406419785024,190.04030934493701,65.77323800534502,52.87776296515743,46.62730538409767,127.05078125,120.099609375,6.951171875,162.482421875
2022-12-14,18671.25,18696.099609375,18632.900390625,18660.30078125,208000,18527.1625,180.17417298640024,18887.5108459728,18166.814154027197,17146.947691587964,18575.56492344815,18427.446133675287,148.11878977286324,181.65600543052227,59.62213277188672,58.055238184485304,50.025804182718446,63.19921875,88.099609375,24.900390625,150.02887834821428
2022-12-15,18614.400390625,18652.900390625,18387.69921875,18414.900390625,183100,18530.7125,177.04558587581275,18884.803671751626,18176.621328248377,17150.617641777237,18550.84730301382,18426.516819375265,124.33048363855414,170.19090107212867,45.67937008960527,12.770090790151844,41.234363979931516,265.201171875,7.400390625,272.6015625,163.08607700892858
2022-12-16,18319.099609375,18440.94921875,18255.150390625,18269.0,277700,18528.77998046875,179.79808638211458,18888.376153232977,18169.18380770452,17155.46835160858,18507.48617947323,18414.84890682895,92.63727264428235,154.68017538655943,38.04196760518139,2.1898373757774525,24.338388783471526,185.798828125,26.048828125,159.75,158.5966796875
2022-12-19,18288.099609375,18431.650390625,18244.55078125,18420.44921875,154800,18541.80498046875,160.02073814801588,18861.846456764782,18221.76350417272,17158.255923642584,18494.095877823504,18415.263744749027,78.83213307447659,139.51056692414286,42.539972334219144,27.353822883541234,14.104583683156834,187.099609375,162.650390625,24.44921875,162.96456473214286
2022-12-20,18340.30078125,18404.900390625,18202.650390625,18385.30078125,169000,18548.86005859375,148.93569586078632,18846.73145031532,18250.988666872177,17161.19777820042,18477.35817065835,18413.044265971323,64.31390468702739,124.47123447671977,34.701733420690516,26.666267458239943,18.736642572519532,202.25,15.548828125,217.798828125,164.27162388392858
2022-12-21,18435.150390625,18473.349609375,18162.75,18199.099609375,187600,18545.4525390625,156.31461383656287,18858.081766735624,18232.823311389373,17164.300239568332,18434.54916123014,18397.196513630854,37.35264759928759,107.04751710123334,27.30336900011129,5.870422357505599,19.963504233095584,310.599609375,88.048828125,222.55078125,177.22516741071428
2022-12-22,18288.80078125,18318.75,18068.599609375,18127.349609375,195700,18527.6150390625,181.93886497589367,18891.492769014287,18163.737309110715,17167.209754862906,18387.287691713966,18377.207854056345,10.079837657620374,87.65398121251074,28.236368582643507,8.901515151515152,13.812734989086891,250.150390625,119.650390625,130.5,182.71442522321428
2022-12-23,17977.650390625,18050.44921875,17779.5,17806.80078125,221500,18492.317578125,243.1554918470617,18978.62856181912,18006.006594430877,17169.528980208594,18297.98201318105,18334.95547829291,-36.973465111863334,62.72849194763593,22.43797195253505,2.978484931781231,5.91680748026732,270.94921875,76.900390625,347.849609375,197.75725446428572
2022-12-26,17830.400390625,18084.099609375,17774.25,18014.599609375,176700,18464.91005859375,264.7339836784173,18994.378025950584,17935.442091236913,17171.572457562357,18254.38472028781,18311.225413928623,-56.8406936408137,38.81465482994601,32.27314567291528,26.072540133520626,12.650846738938995,309.849609375,277.298828125,32.55078125,211.09291294642858
2022-12-27,18089.80078125,18149.25,17967.44921875,18132.30078125,214300,18440.62255859375,272.12388408349597,18984.87032676074,17896.37479042676,17174.42953032427,18235.602575820452,18297.971737433912,-62.369161613460165,18.577891541264776,38.1529602739045,38.84047653854873,22.630500534616854,181.80078125,134.650390625,47.150390625,214.08579799107142
2022-12-28,18084.75,18173.099609375,18068.349609375,18122.5,193900,18408.830078125,270.1863883639549,18949.20285485291,17868.45730139709,17177.107605934736,18218.20217954038,18284.97383095733,-66.77165141694786,1.5079829496222494,36.23279976758905,37.77731166324496,34.230109445104766,104.75,40.798828125,63.951171875,215.27859933035714
2022-12-29,18045.69921875,18229.69921875,17992.80078125,18191.0,281100,18377.755078125,256.72024803740396,18891.195574199806,17864.314582050192,17181.030712722262,18214.01722884186,18278.012806441973,-63.995577600111574,-11.592729160324517,41.13639015812843,45.20802479729314,40.60860433302893,236.8984375,107.19921875,129.69921875,214.01422991071428
2022-12-30,18259.099609375,18265.25,18080.30078125,18105.30078125,192000,18348.21513671875,252.11070770371336,18852.43655212618,17843.993721311323,17183.726581104078,18197.29162152004,18265.21932309442,-67.92770157438281,-22.859723643136178,39.169733749499315,35.91158231052974,39.632306257022606,184.94921875,74.25,110.69921875,214.6640625
2023-01-02,18131.69921875,18215.150390625,18086.5,18197.44921875,256100,18323.03505859375,239.86761843720555,18802.77029546816,17843.299821719338,17187.35866608131,18197.315867247726,18260.199315365207,-62.88344811748175,-30.864468538005294,38.5343279609189,45.90762033700081,42.342409148274555,128.650390625,109.849609375,18.80078125,214.7783203125
2023-01-03,18163.19921875,18251.94921875,18149.80078125,18232.55078125,208700,18302.52509765625,228.35217536156708,18759.229448379385,17845.820746933114,17190.43405466848,18202.736623248078,18258.151275801116,-55.41465255303774,-35.77450534101178,37.93812207276076,52.15962869190809,44.65961044647954,102.1484375,54.5,47.6484375,215.78180803571428
2023-01-04,18230.650390625,18243.0,18020.599609375,18042.94921875,235200,18276.64755859375,226.89961262369417,18730.44678384114,17822.848333346363,17193.509379720388,18178.15394563299,18242.21038268622,-64.05643705323018,-41.430891683455464,39.17077891873265,38.43504060747781,45.500763212128895,222.400390625,10.44921875,211.951171875,212.19601004464286
